paso,agentes_activos,agentes_evac,conflictos,ratio_evac,conflictos_rapido_gana,conflictos_lento_gana,conflictos_empate_random
0,72,0,0,0.0,0,0,0
1,70,2,16,0.0278,3,6,1
2,68,4,13,0.0556,8,9,6
3,66,6,15,0.0833,10,17,8
4,62,10,15,0.1389,14,25,11
5,58,14,14,0.1944,18,32,14
6,54,18,11,0.25,24,36,19
7,50,22,10,0.3056,29,40,25
8,46,26,9,0.3611,35,42,28
9,43,29,9,0.4028,40,45,31
10,40,32,8,0.4444,46,47,33
11,37,35,7,0.4861,51,48,35
12,34,38,7,0.5278,55,50,37
13,31,41,6,0.5694,57,53,39
14,28,44,6,0.6111,62,53,41
15,26,46,5,0.6389,65,54,43
16,24,48,4,0.6667,69,54,43
17,21,51,4,0.7083,73,54,44
18,19,53,4,0.7361,77,54,44
19,17,55,3,0.7639,80,54,44
20,14,58,3,0.8056,82,55,45
21,12,60,2,0.8333,84,55,45
22,10,62,2,0.8611,84,57,46
23,8,64,2,0.8889,84,59,48
24,6,66,2,0.9167,84,61,49
25,4,68,2,0.9444,84,63,51
26,2,70,1,0.9722,84,64,52
27,1,71,1,0.9861,84,65,53
28,0,72,0,1.0,84,65,53
