paso,agentes_activos,agentes_evac,conflictos,ratio_evac,conflictos_rapido_gana,conflictos_lento_gana,conflictos_empate_random
0,16,0,0,0.0,0,0,0
1,16,0,0,0.0,0,0,0
2,16,0,0,0.0,0,0,0
3,16,0,0,0.0,0,0,0
4,16,0,0,0.0,0,0,0
5,16,0,0,0.0,0,0,0
6,16,0,0,0.0,0,0,0
7,16,0,0,0.0,0,0,0
8,16,0,0,0.0,0,0,0
9,16,0,0,0.0,0,0,0
10,16,0,0,0.0,0,0,0
11,16,0,0,0.0,0,0,0
12,16,0,0,0.0,0,0,0
13,16,0,0,0.0,0,0,0
14,16,0,0,0.0,0,0,0
15,16,0,0,0.0,0,0,0
16,16,0,0,0.0,0,0,0
17,16,0,0,0.0,0,0,0
18,16,0,0,0.0,0,0,0
19,16,0,0,0.0,0,0,0
20,16,0,2,0.0,0,1,0
21,16,0,2,0.0,0,2,0
22,16,0,4,0.0,0,4,0
23,16,0,6,0.0,0,7,4
24,14,2,4,0.125,0,9,4
25,12,4,4,0.25,0,11,6
26,10,6,2,0.375,0,12,8
27,8,8,2,0.5,0,13,10
28,6,10,2,0.625,0,14,12
29,4,12,2,0.75,0,15,14
30,2,14,2,0.875,0,16,16
31,0,16,0,1.0,0,16,16
