paso,agentes_activos,agentes_evac,conflictos,ratio_evac,conflictos_rapido_gana,conflictos_lento_gana,conflictos_empate_random
0,16,0,0,0.0,0,0,0
1,16,0,1,0.0,0,1,0
2,16,0,2,0.0,0,3,0
3,16,0,2,0.0,0,5,0
4,16,0,3,0.0,1,7,0
5,16,0,3,0.0,2,8,0
6,15,1,3,0.0625,4,8,1
7,14,2,2,0.125,5,8,1
8,12,4,2,0.25,5,10,2
9,11,5,3,0.3125,6,10,3
10,9,7,2,0.4375,8,10,3
11,8,8,2,0.5,10,10,3
12,7,9,2,0.5625,11,11,4
13,6,10,2,0.625,13,11,4
14,5,11,2,0.6875,14,12,5
15,4,12,2,0.75,15,13,6
16,3,13,1,0.8125,16,13,6
17,2,14,1,0.875,16,14,7
18,1,15,1,0.9375,16,15,8
19,0,16,0,1.0,16,15,8
