rho,T_mean,sigma_T,fI,fII,fIII,n_sims
0.25,21.12,1.351147660324363,1.0,0.0,0.0,100
0.25,21.1,1.3820274961085253,1.0,0.0,0.0,100
0.25,21.2,1.4,1.0,0.0,0.0,100
0.25,21.19,1.324348896628075,1.0,0.0,0.0,100
0.25,21.18,1.395564401953561,1.0,0.0,0.0,100
0.25,21.39,1.4553006562219368,1.0,0.0,0.0,100
0.25,21.44,1.458218090684655,1.0,0.0,0.0,100
0.25,21.32,1.4204224723651762,1.0,0.0,0.0,100
0.25,21.69,1.5079456223617616,1.0,0.0,0.0,100
0.25,21.12,1.343726162579266,1.0,0.0,0.0,100
0.25,21.4,1.407124727947029,0.9999532710280374,4.672897196261682e-05,0.0,100
0.25,21.33,1.5495483212859158,0.9988123144241288,0.0011720581340834506,1.562744178777934e-05,100
0.25,21.55,1.306713434537198,0.9908894044856922,0.008167053364269141,0.0009435421500386698,100
0.25,21.19,1.1549458861782225,0.9840490797546012,0.013748623564574484,0.0022022966808242883,100
0.25,21.24,1.192644121270046,0.9694758317639673,0.023979912115505337,0.006544256120527307,100
0.25,21.33,1.1580587204455566,0.9686200968901391,0.015939990623534926,0.015439912486325988,100
0.5,32.07,1.73352242558324,1.0,0.0,0.0,100
0.5,32.1,1.7175564037317668,1.0,0.0,0.0,100
0.5,31.94,1.7077470538695125,1.0,0.0,0.0,100
0.5,32.0,1.7262676501632068,1.0,0.0,0.0,100
0.5,32.02,1.7261517893858582,1.0,0.0,0.0,100
0.5,31.73,1.495693818934878,1.0,0.0,0.0,100
0.5,31.84,1.4122322755127783,1.0,0.0,0.0,100
0.5,31.67,1.4970303938130314,1.0,0.0,0.0,100
0.5,31.61,1.7486852203870198,0.9998605890648207,0.0001394109351792771,0.0,100
0.5,32.16,1.9064102391667959,0.9982977063833376,0.0016970233577873345,5.2702588751159454e-06,100
0.5,31.85,1.894069692487581,0.9902988053109119,0.008998749434584785,0.0007024452545033659,100
0.5,31.61,1.5677691156544704,0.9607665456651242,0.03435407160360109,0.004879382731274699,100
0.5,32.06,1.7878478682483026,0.8915063916174123,0.07828013153303658,0.030213476849551158,100
0.5,32.14,1.8921944931745256,0.8576935652283969,0.08766730300697162,0.054639131764631435,100
0.5,32.01,1.808286481727937,0.8069882822634876,0.08805510989680132,0.10495660783971111,100
0.5,32.13,1.8636254988596823,0.8034046010117795,0.051105941434954394,0.14548945755326612,100
0.75,43.31,1.5211508800904663,1.0,0.0,0.0,100
0.75,43.31,1.6290794946840377,1.0,0.0,0.0,100
0.75,43.26,1.6286190469228832,1.0,0.0,0.0,100
0.75,43.22,1.5848028268526024,1.0,0.0,0.0,100
0.75,43.41,1.6437457224278944,1.0,0.0,0.0,100
0.75,43.59,1.6798511838850487,1.0,0.0,0.0,100
0.75,43.57,1.5182555779578089,1.0,0.0,0.0,100
0.75,43.66,1.5311433636338565,0.9994924624161913,0.0005075375838087703,0.0,100
0.75,43.54,1.519341962824696,0.9946392032404894,0.005360796759510586,0.0,100
0.75,43.63,1.6040885262353821,0.9705503927656116,0.02633456962473694,0.0031150376096514077,100
0.75,43.75,1.3811227316933132,0.9170831168831168,0.07251428571428571,0.010402597402597403,100
0.75,43.62,1.724992753607968,0.8299205952232087,0.11646554958109291,0.05361385519569839,100
0.75,43.08,1.346699669562594,0.723730163754537,0.1350763906474213,0.1411934455980417,100
0.75,43.47,1.7745703705404303,0.6729902545119937,0.11988936988936989,0.20712037559863647,100
0.75,43.6,1.5231546211727816,0.6207334236864054,0.09906432443703087,0.2802022518765638,100
0.75,43.53,1.664061296947922,0.6222981016227054,0.053487145751101646,0.32421475262619304,100
1.0,56.0,0.0,1.0,0.0,0.0,100
1.0,56.0,0.0,1.0,0.0,0.0,100
1.0,56.0,0.0,1.0,0.0,0.0,100
1.0,56.0,0.0,1.0,0.0,0.0,100
1.0,56.0,0.0,1.0,0.0,0.0,100
1.0,56.0,0.0,1.0,0.0,0.0,100
1.0,56.0,0.0,1.0,0.0,0.0,100
1.0,56.0,0.0,0.992713377723971,0.007286622276029056,0.0,100
1.0,56.0,0.0,0.9728056900726392,0.02579146489104116,0.0014028450363196127,100
1.0,56.0,0.0,0.8770142251815981,0.1100090799031477,0.012976694915254237,100
1.0,56.0,0.0,0.7772412227602905,0.1615935230024213,0.061165254237288136,100
1.0,56.0,0.0,0.6701997578692493,0.15210351089588378,0.17769673123486682,100
1.0,56.0,0.0,0.564567191283293,0.1324455205811138,0.3029872881355932,100
1.0,56.0,0.0,0.5275045399515739,0.1098910411622276,0.36260441888619854,100
1.0,56.0,0.0,0.47925242130750606,0.08724122276029056,0.4335063559322034,100
1.0,56.0,0.0,0.4797003631961259,0.048577481840193705,0.47172215496368036,100
