rho,d_inv,T_mean,sigma_T,fI,fII,fIII,n_sims
0.25,0.001,19.53,1.3375724279454926,1.0,0.0,0.0,100
0.25,0.001584893192461114,19.59,1.4006784070585225,1.0,0.0,0.0,100
0.25,0.0025118864315095794,19.54,1.4793241700181878,1.0,0.0,0.0,100
0.25,0.003981071705534973,19.52,1.4524462124292246,1.0,0.0,0.0,100
0.25,0.00630957344480193,19.56,1.505456741324705,1.0,0.0,0.0,100
0.25,0.01,19.43,1.478208375027012,1.0,0.0,0.0,100
0.25,0.01584893192461114,19.47,1.3744453426746368,1.0,0.0,0.0,100
0.25,0.025118864315095808,19.24,1.4568459081179452,1.0,0.0,0.0,100
0.25,0.039810717055349734,19.46,1.46574213284602,1.0,0.0,0.0,100
0.25,0.06309573444801933,19.43,1.557273257973693,1.0,0.0,0.0,100
0.25,0.1,19.44,1.416474496770062,0.9996399176954732,0.000360082304526749,0.0,100
0.25,0.15848931924611143,19.36,1.417885749981288,0.9975723140495868,0.002238292011019284,0.0001893939393939394,100
0.25,0.25118864315095824,19.36,1.4458215657542253,0.9829201101928374,0.015960743801652893,0.001119146005509642,100
0.25,0.3981071705534973,19.37,1.2462343278854102,0.9748236103940802,0.022336947169161934,0.002839442436757873,100
0.25,0.6309573444801936,19.4,1.4,0.9438659793814433,0.04170103092783505,0.01443298969072165,100
0.25,1.0,19.55,1.5580436450882884,0.943307757885763,0.027740835464620632,0.028951406649616367,100
0.5,0.001,32.78,1.7121915780659593,1.0,0.0,0.0,100
0.5,0.001584893192461114,32.8,1.7492855684535902,1.0,0.0,0.0,100
0.5,0.0025118864315095794,32.72,1.794881611694766,1.0,0.0,0.0,100
0.5,0.003981071705534973,32.75,1.8076227482525218,1.0,0.0,0.0,100
0.5,0.00630957344480193,32.8,1.816590212458495,1.0,0.0,0.0,100
0.5,0.01,32.72,1.7267310155319502,1.0,0.0,0.0,100
0.5,0.01584893192461114,32.85,1.8131464364468746,1.0,0.0,0.0,100
0.5,0.025118864315095808,32.9,1.8138357147217055,1.0,0.0,0.0,100
0.5,0.039810717055349734,32.44,1.5704776343520466,0.999952977073711,4.702292628895066e-05,0.0,100
0.5,0.06309573444801933,32.9,2.0760539492026693,0.9965638040286435,0.0034361959713564475,0.0,100
0.5,0.1,32.92,1.9114392483152585,0.9772947257861895,0.02240665609489878,0.00029861811891179437,100
0.5,0.15848931924611143,32.41,1.6738876903783,0.9215820603601107,0.06963743142679336,0.00878050821309598,100
0.5,0.25118864315095824,32.84,1.85321342537766,0.7989636449968001,0.1429426701624724,0.058093684840727515,100
0.5,0.3981071705534973,33.24,2.0548479262466115,0.7281251912133635,0.16006853086948541,0.11180627791715107,100
0.5,0.6309573444801936,32.85,1.835074930350257,0.6364419678559451,0.15115961096922323,0.21239842117483168,100
0.5,1.0,32.97,1.7289013852733186,0.6437079419914354,0.08769142980521584,0.2686006282033487,100
0.75,0.001,46.59,1.6068291757371098,1.0,0.0,0.0,100
0.75,0.001584893192461114,46.61,1.5867892109539943,1.0,0.0,0.0,100
0.75,0.0025118864315095794,46.65,1.6635804759614126,1.0,0.0,0.0,100
0.75,0.003981071705534973,46.77,1.6544183267843717,1.0,0.0,0.0,100
0.75,0.00630957344480193,46.98,1.7718916445426338,1.0,0.0,0.0,100
0.75,0.01,47.06,1.7766260157951081,1.0,0.0,0.0,100
0.75,0.01584893192461114,47.04,1.7545369759569047,1.0,0.0,0.0,100
0.75,0.025118864315095808,47.08,2.047828117787233,0.9999975863134317,2.4136865683169846e-06,0.0,100
0.75,0.039810717055349734,47.07,1.909214498164101,0.9962338490063155,0.0037661509936844544,0.0,100
0.75,0.06309573444801933,47.02,1.9594897294959215,0.9382105293685472,0.061373786783187036,0.0004156838482657283,100
0.75,0.1,46.9,1.5905973720586866,0.8307205853847645,0.15110971118433805,0.018169703430897462,100
0.75,0.15848931924611143,47.33,1.9081666593880107,0.6751195666788314,0.20757543745078078,0.1173049958703878,100
0.75,0.25118864315095824,46.75,1.6085707942145413,0.5125060768108897,0.21234564900340303,0.27514827418570736,100
0.75,0.3981071705534973,46.94,1.859139585937538,0.4462515009489871,0.18304799163341984,0.3707005074175931,100
0.75,0.6309573444801936,46.91,1.721017141111616,0.3665045251061026,0.1414362124765024,0.492059262417395,100
0.75,1.0,47.06,1.8805318396666406,0.3661524939149249,0.0748005447591083,0.5590469613259669,100
1.0,0.001,62.0,0.0,1.0,0.0,0.0,100
1.0,0.001584893192461114,62.0,0.0,1.0,0.0,0.0,100
1.0,0.0025118864315095794,62.0,0.0,1.0,0.0,0.0,100
1.0,0.003981071705534973,62.0,0.0,1.0,0.0,0.0,100
1.0,0.00630957344480193,62.0,0.0,1.0,0.0,0.0,100
1.0,0.01,62.0,0.0,1.0,0.0,0.0,100
1.0,0.01584893192461114,62.0,0.0,1.0,0.0,0.0,100
1.0,0.025118864315095808,62.0,0.0,0.9981560962274467,0.0018439037725533078,0.0,100
1.0,0.039810717055349734,62.0,0.0,0.9379784034991798,0.06200929469655549,1.2301804264625479e-05,100
1.0,0.06309573444801933,62.0,0.0,0.7671719518862766,0.21482094040459268,0.018007107709130672,100
1.0,0.1,62.0,0.0,0.6233160196828869,0.24652268999453253,0.13016129032258064,100
1.0,0.15848931924611143,62.0,0.0,0.47040732640787314,0.21659513395297977,0.31299753963914706,100
1.0,0.25118864315095824,62.0,0.0,0.33895571350464737,0.1738942044833242,0.4871500820120284,100
1.0,0.3981071705534973,62.0,0.0,0.2877063969382176,0.14456533624931656,0.5677282668124658,100
1.0,0.6309573444801936,62.0,0.0,0.23404455986878075,0.1041662110442865,0.6617892290869327,100
1.0,1.0,62.0,0.0,0.23488655002733735,0.052914160743575724,0.7121992892290869,100
