rho,T_mean,sigma_T,fI,fII,fIII,n_sims
0.25,20.875,0.9270248108869579,1.0,0.0,0.0,8
0.25,20.625,1.1110243021644486,1.0,0.0,0.0,8
0.25,21.375,1.4947825928876748,1.0,0.0,0.0,8
0.25,21.5,1.0,1.0,0.0,0.0,8
0.25,21.25,1.920286436967152,1.0,0.0,0.0,8
0.25,20.375,0.8569568250501305,1.0,0.0,0.0,8
0.25,20.875,1.4523687548277813,1.0,0.0,0.0,8
0.25,20.875,1.165922381636102,1.0,0.0,0.0,8
0.25,22.0,1.4142135623730951,1.0,0.0,0.0,8
0.25,21.75,1.5612494995995996,1.0,0.0,0.0,8
0.25,22.375,1.1110243021644486,0.9998137802607077,0.00018621973929236498,0.0,8
0.25,21.375,0.9921567416492215,0.9978557504873294,0.0021442495126705653,0.0,8
0.25,21.5,0.8660254037844386,0.9951550387596899,0.0048449612403100775,0.0,8
0.25,21.0,1.0,0.9841269841269841,0.014285714285714285,0.0015873015873015873,8
0.25,21.375,1.4947825928876748,0.9705653021442495,0.019688109161793373,0.009746588693957114,8
0.25,20.875,0.5994789404140899,0.9720558882235529,0.015169660678642715,0.01277445109780439,8
0.5,31.25,0.9682458365518543,1.0,0.0,0.0,8
0.5,31.75,1.984313483298443,1.0,0.0,0.0,8
0.5,31.25,1.6393596310755,1.0,0.0,0.0,8
0.5,32.0,1.224744871391589,1.0,0.0,0.0,8
0.5,33.375,1.4947825928876748,1.0,0.0,0.0,8
0.5,31.5,1.8027756377319946,1.0,0.0,0.0,8
0.5,31.625,1.3169567191065923,1.0,0.0,0.0,8
0.5,32.25,1.1989578808281798,1.0,0.0,0.0,8
0.5,30.375,0.6959705453537527,0.9999302504010602,6.97495989398061e-05,0.0,8
0.5,32.25,1.8540496217739157,0.9946130600446722,0.005321245565628695,6.569438969911969e-05,8
0.5,30.75,1.299038105676658,0.9909053327821414,0.006958798401543337,0.002135868816315282,8
0.5,32.125,1.6153559979150107,0.9630020444503067,0.033634505045175754,0.0033634505045175758,8
0.5,32.5,1.118033988749895,0.8743155149934811,0.0910039113428944,0.03468057366362451,8
0.5,32.375,2.4462982238476156,0.864799424121458,0.08088475885086055,0.054315817027681436,8
0.5,32.375,1.5761900266148114,0.7987042732805445,0.08651266278384923,0.1147830639356063,8
0.5,32.0,1.118033988749895,0.802635063559322,0.05064883474576271,0.14671610169491525,8
0.75,43.125,0.5994789404140899,1.0,0.0,0.0,8
0.75,43.125,0.9270248108869579,1.0,0.0,0.0,8
0.75,43.5,1.6583123951777,1.0,0.0,0.0,8
0.75,42.625,0.9921567416492215,1.0,0.0,0.0,8
0.75,43.0,1.3228756555322954,1.0,0.0,0.0,8
0.75,43.625,1.2183492931011204,1.0,0.0,0.0,8
0.75,45.125,1.6153559979150107,1.0,0.0,0.0,8
0.75,44.375,1.4947825928876748,0.9990076824583867,0.0009923175416133162,0.0,8
0.75,43.0,1.4142135623730951,0.9950779598308668,0.004922040169133193,0.0,8
0.75,43.375,1.1110243021644486,0.9729499607021221,0.024462929001833902,0.0025871102960440136,8
0.75,44.125,2.027159342528357,0.9150463559103785,0.072559876384239,0.012393767705382436,8
0.75,44.125,2.027159342528357,0.8312516095802215,0.10900077259850631,0.05974761782127221,8
0.75,43.375,2.057759704144291,0.7191184176054493,0.13764081739586062,0.14324076499869007,8
0.75,43.125,1.6909686573085854,0.6789855072463769,0.12002635046113307,0.20098814229249012,8
0.75,43.875,1.2686114456365274,0.6133126133126133,0.09803159803159803,0.28865578865578867,8
0.75,44.125,1.3635890143294642,0.6276397115632243,0.053502446561936645,0.31885784187483907,8
1.0,56.0,0.0,1.0,0.0,0.0,8
1.0,56.0,0.0,1.0,0.0,0.0,8
1.0,56.0,0.0,1.0,0.0,0.0,8
1.0,56.0,0.0,1.0,0.0,0.0,8
1.0,56.0,0.0,1.0,0.0,0.0,8
1.0,56.0,0.0,1.0,0.0,0.0,8
1.0,56.0,0.0,1.0,0.0,0.0,8
1.0,56.0,0.0,0.9927360774818402,0.007263922518159807,0.0,8
1.0,56.0,0.0,0.9721927966101694,0.026426301452784504,0.001380901937046005,8
1.0,56.0,0.0,0.8739785108958837,0.11404736682808717,0.011974122276029056,8
1.0,56.0,0.0,0.7795096852300242,0.1587280569007264,0.061762257869249396,8
1.0,56.0,0.0,0.6647434927360775,0.15628783292978207,0.17896867433414043,8
1.0,56.0,0.0,0.5678722760290557,0.12439467312348668,0.3077330508474576,8
1.0,56.0,0.0,0.534900877723971,0.10296231840193705,0.36213680387409203,8
1.0,56.0,0.0,0.4790405569007264,0.08652391041162227,0.43443553268765134,8
1.0,56.0,0.0,0.4804214588377724,0.046175090799031475,0.47340345036319614,8
