rho,log10(1/d),T_PFF,sigma_T_PFF,T_PRU,sigma_T_PRU,ΔT (%)
0.25,-3.0,52.63,1.5339817469578965,41.01,2.2067849917923588,-22.078662359870805
0.25,-2.8,52.58,1.4844527611210805,41.02,2.2225210910135362,-21.98554583491821
0.25,-2.6,52.55,1.6023420358962064,41.09,2.2675757980715883,-21.80780209324452
0.25,-2.4,52.78,1.54,40.98,1.9898743678936115,-22.356953391436157
0.25,-2.2,52.91,1.7034964044576084,41.03,2.109288979727529,-22.453222453222445
0.25,-2.0,52.89,1.5485154180698364,41.28,2.2894540834006696,-21.951219512195124
0.25,-1.7999999999999998,52.47,1.4453719244540486,41.11,2.222138609538118,-21.650466933485802
0.25,-1.5999999999999999,52.74,1.6710475756243448,40.84,2.361016730139793,-22.563519150549862
0.25,-1.4,52.76,1.68,41.17,2.332616556573326,-21.967399545109924
0.25,-1.2,52.9,1.6031219541881396,41.29,2.337926431691126,-21.947069943289225
0.25,-1.0,52.49,1.640091460864302,41.11,2.2445266761613683,-21.680320060963997
0.25,-0.7999999999999998,52.64,1.7917589123540032,41.11,2.5569317550533097,-21.903495440729483
0.25,-0.5999999999999996,52.76,1.6560193235587561,41.07,2.2945805716949668,-22.156937073540558
0.25,-0.3999999999999999,52.63,1.5978422950967346,41.02,2.3705695518166094,-22.059661789853692
0.25,-0.19999999999999976,52.91,1.477125587077822,41.04,2.481612379079376,-22.434322434322432
0.25,0.0,52.65,1.5386682553429119,40.74,2.081441807978306,-22.621082621082618
0.5,-3.0,102.55,1.6575584454250776,76.23,2.7050138631807417,-25.665529010238902
0.5,-2.8,102.73,1.5482570845954493,76.23,2.7123974634997725,-25.79577533339823
0.5,-2.6,102.72,1.9239542614105982,76.28,2.7643444069073593,-25.739875389408095
0.5,-2.4,102.48,1.8026646942789997,76.11,2.633989369758352,-25.731850117096023
0.5,-2.2,103.0,1.9078784028338913,75.88,2.4628438846179432,-26.330097087378647
0.5,-2.0,102.48,1.6154256405046936,75.99,2.3769518295497702,-25.84894613583139
0.5,-1.7999999999999998,102.77,1.8212907510883594,76.04,2.465441136997596,-26.009535856767528
0.5,-1.5999999999999999,102.95,2.026696819951124,76.53,2.8686407931283413,-25.662943176299173
0.5,-1.4,102.98,1.7887425751068822,76.51,2.765845259590637,-25.704020198096718
0.5,-1.2,102.84,1.6596385148579795,76.26,2.5519404381764086,-25.845974329054837
0.5,-1.0,102.73,1.4060938802227965,75.97,2.075837180512961,-26.048865959310817
0.5,-0.7999999999999998,102.79,1.5381482373295494,76.11,2.395391408517614,-25.955832279404618
0.5,-0.5999999999999996,103.02,1.8329211657897346,76.46,2.721837614553815,-25.781401669578724
0.5,-0.3999999999999999,102.97,1.7404309811078402,76.31,2.87991319313621,-25.89103622414295
0.5,-0.19999999999999976,102.9,1.7916472867168918,76.58,2.4420483205702546,-25.57823129251701
0.5,0.0,102.72,1.6252999723128037,76.53,2.459491817428958,-25.496495327102803
0.75,-3.0,151.05,1.5771810295587503,111.5,2.4228082879171433,-26.183382985766308
0.75,-2.8,151.24,1.68,111.47,2.410207459950284,-26.295953451467867
0.75,-2.6,151.31,1.7927353401994395,111.32,2.3146490014686893,-26.429185116647947
0.75,-2.4,151.16,1.901157542130583,111.05,2.108909670896314,-26.534797565493516
0.75,-2.2,151.87,1.9629314812290315,110.97,2.056477570993664,-26.930927767169294
0.75,-2.0,151.39,1.7140303381212365,110.89,2.0292609492127918,-26.752097232313883
0.75,-1.7999999999999998,151.51,1.819313057172954,111.08,2.042939059296679,-26.68470728004752
0.75,-1.5999999999999999,151.44,1.6267759526130203,111.27,2.374257778759501,-26.525356576862123
0.75,-1.4,151.36,1.6218507946170635,111.33,2.044773826123564,-26.446881606765338
0.75,-1.2,151.45,1.9306734576307822,111.08,1.9630588376307012,-26.655661934631887
0.75,-1.0,151.8,1.6186414056238645,110.94,2.1345725567429183,-26.916996047430835
0.75,-0.7999999999999998,151.44,1.6692513291892266,111.13,2.1244057992765883,-26.617802430005284
0.75,-0.5999999999999996,151.83,2.005268061881005,111.21,2.2373868686483345,-26.75360600671805
0.75,-0.3999999999999999,151.94,1.891137224000416,111.63,2.496617712025612,-26.530209293142033
0.75,-0.19999999999999976,151.56,1.779438113562818,111.29,1.9964718881066168,-26.570335180786486
0.75,0.0,151.77,2.1718885790942406,111.04,2.0244505427399306,-26.836660736640972
1.0,-3.0,199.47,1.705608395851756,144.0,0.0,-27.80869303654685
1.0,-2.8,199.7,1.6217274740226855,144.0,0.0,-27.891837756634946
1.0,-2.6,199.58,1.887749983445901,144.0,0.0,-27.848481811804792
1.0,-2.4,199.84,1.7304334717058614,144.0,0.0,-27.942353883106485
1.0,-2.2,199.76,1.7036431551237483,144.0,0.0,-27.91349619543452
1.0,-2.0,199.9,1.841195263952197,144.0,0.0,-27.9639819909955
1.0,-1.7999999999999998,199.74,1.8687964041061296,144.0,0.0,-27.9062781616101
1.0,-1.5999999999999999,199.44,1.4853955702101715,144.0,0.0,-27.79783393501805
1.0,-1.4,199.9,1.6340134638368191,144.0,0.0,-27.9639819909955
1.0,-1.2,200.92,2.171082679217906,144.0,0.0,-28.32968345610193
1.0,-1.0,201.26,4.02894527140789,144.0,0.0,-28.450760210672758
1.0,-0.7999999999999998,200.22,1.6767826334978546,144.0,0.0,-28.0791129757267
1.0,-0.5999999999999996,199.61,1.788267317824715,144.0,0.0,-27.859325685085924
1.0,-0.3999999999999999,200.31,1.952920889334742,144.0,0.0,-28.11142728770406
1.0,-0.19999999999999976,200.33,1.9547634127944997,144.0,0.0,-28.11860430290022
1.0,0.0,199.84,1.5666524822052912,144.0,0.0,-27.942353883106485
