rho,T_mean,sigma_T,fI,fII,fIII,n_sims
0.25,41.01,2.2067849917923588,1.0,0.0,0.0,100
0.25,41.02,2.2225210910135362,1.0,0.0,0.0,100
0.25,41.09,2.2675757980715883,1.0,0.0,0.0,100
0.25,40.98,1.9898743678936115,1.0,0.0,0.0,100
0.25,41.03,2.109288979727529,1.0,0.0,0.0,100
0.25,41.28,2.2894540834006696,1.0,0.0,0.0,100
0.25,41.11,2.222138609538118,1.0,0.0,0.0,100
0.25,40.84,2.361016730139793,0.999955789530961,4.4210469039068454e-05,0.0,100
0.25,41.17,2.332616556573326,0.9851867595066527,0.014813240493347367,0.0,100
0.25,41.29,2.337926431691126,0.9205013320416566,0.07715750383466538,0.0023411641236780498,100
0.25,41.11,2.2445266761613683,0.8673849293224141,0.09673234411740858,0.035882726560177304,100
0.25,41.11,2.5569317550533097,0.8077110192167356,0.08203600097299928,0.11025297981026515,100
0.25,41.07,2.2945805716949668,0.7463510808105402,0.0753997240483727,0.17824919514108703,100
0.25,41.02,2.3705695518166094,0.7206003846362208,0.0693259385665529,0.21007367679722627,100
0.25,41.04,2.481612379079376,0.6863155187351094,0.062066818280268575,0.25161766298462207,100
0.25,40.74,2.081441807978306,0.6905716467572137,0.033910843833524246,0.275517509409262,100
0.5,76.23,2.7050138631807417,1.0,0.0,0.0,100
0.5,76.23,2.7123974634997725,1.0,0.0,0.0,100
0.5,76.28,2.7643444069073593,1.0,0.0,0.0,100
0.5,76.11,2.633989369758352,1.0,0.0,0.0,100
0.5,75.88,2.4628438846179432,1.0,0.0,0.0,100
0.5,75.99,2.3769518295497702,1.0,0.0,0.0,100
0.5,76.04,2.465441136997596,0.9970236790578059,0.0029763209421941666,0.0,100
0.5,76.53,2.8686407931283413,0.9111913265676496,0.08880867343235042,0.0,100
0.5,76.51,2.765845259590637,0.7993925993697265,0.16815612338256436,0.03245127724770909,100
0.5,76.26,2.5519404381764086,0.6876192921875456,0.1643900982020573,0.14799060961039717,100
0.5,75.97,2.075837180512961,0.6164668436371082,0.13299749169994005,0.25053566466295174,100
0.5,76.11,2.395391408517614,0.5344922918582753,0.11349983211433744,0.35200787602738726,100
0.5,76.46,2.721837614553815,0.45189205684889705,0.10452451536024646,0.4435834277908565,100
0.5,76.31,2.87991319313621,0.4154344850682159,0.09496716609152725,0.4895983488402568,100
0.5,76.58,2.4420483205702546,0.3700750486056702,0.07922724238994806,0.5506977090043818,100
0.5,76.53,2.459491817428958,0.37019614675435925,0.04320382711209838,0.5866000261335425,100
0.75,111.5,2.4228082879171433,1.0,0.0,0.0,100
0.75,111.47,2.410207459950284,1.0,0.0,0.0,100
0.75,111.32,2.3146490014686893,1.0,0.0,0.0,100
0.75,111.05,2.108909670896314,1.0,0.0,0.0,100
0.75,110.97,2.056477570993664,1.0,0.0,0.0,100
0.75,110.89,2.0292609492127918,1.0,0.0,0.0,100
0.75,111.08,2.042939059296679,0.9081092705957668,0.09189072940423318,0.0,100
0.75,111.27,2.374257778759501,0.7614170070133043,0.20644311967220208,0.032139873314493604,100
0.75,111.33,2.044773826123564,0.6391379815097591,0.19732709894840497,0.1635349195418359,100
0.75,111.08,1.9630588376307012,0.5231456474479521,0.17331144387095054,0.3035429086810974,100
0.75,110.94,2.1345725567429183,0.4414652731873752,0.14554288604450855,0.41299184076811624,100
0.75,111.13,2.1244057992765883,0.35412813155096967,0.11995502431253353,0.5259168441364968,100
0.75,111.21,2.2373868686483345,0.27573626139402596,0.1027273226828123,0.6215364159231617,100
0.75,111.63,2.496617712025612,0.24610485698454881,0.08095444275234655,0.6729407002631046,100
0.75,111.29,1.9964718881066168,0.21437152850577237,0.06145605575024211,0.7241724157439855,100
0.75,111.04,2.0244505427399306,0.21184182877041308,0.03273761874266197,0.755420552486925,100
1.0,144.0,0.0,1.0,0.0,0.0,100
1.0,144.0,0.0,1.0,0.0,0.0,100
1.0,144.0,0.0,1.0,0.0,0.0,100
1.0,144.0,0.0,1.0,0.0,0.0,100
1.0,144.0,0.0,1.0,0.0,0.0,100
1.0,144.0,0.0,1.0,0.0,0.0,100
1.0,144.0,0.0,0.797833236882716,0.20216676311728396,0.0,100
1.0,144.0,0.0,0.6444311824845679,0.23207103587962963,0.12349778163580247,100
1.0,144.0,0.0,0.5211352237654321,0.20017771026234568,0.2786870659722222,100
1.0,144.0,0.0,0.39707658179012345,0.18096281828703703,0.4219605999228395,100
1.0,144.0,0.0,0.3184350887345679,0.14482470100308642,0.5367402102623456,100
1.0,144.0,0.0,0.2446995563271605,0.10717351466049382,0.6481269290123457,100
1.0,144.0,0.0,0.18412471064814814,0.07834129050925925,0.7375339988425926,100
1.0,144.0,0.0,0.16457585841049382,0.060886622299382714,0.7745375192901235,100
1.0,144.0,0.0,0.14223042052469137,0.043253761574074075,0.8145158179012346,100
1.0,144.0,0.0,0.1416430362654321,0.022172791280864197,0.8361841724537037,100
