rho,T_mean,sigma_T,fI,fII,fIII,n_sims
0.25,40.375,1.5761900266148114,1.0,0.0,0.0,8
0.25,40.0,1.4142135623730951,1.0,0.0,0.0,8
0.25,40.125,2.027159342528357,1.0,0.0,0.0,8
0.25,41.125,1.8328597873268975,1.0,0.0,0.0,8
0.25,42.125,2.4717149916606487,1.0,0.0,0.0,8
0.25,40.875,1.6153559979150107,1.0,0.0,0.0,8
0.25,42.625,2.912795049432761,1.0,0.0,0.0,8
0.25,41.375,1.79843682124227,1.0,0.0,0.0,8
0.25,42.0,3.391164991562634,0.9810681216931217,0.018931878306878307,0.0,8
0.25,43.75,2.7271780286589284,0.9126984126984127,0.08182539682539683,0.0054761904761904765,8
0.25,40.375,1.1110243021644486,0.8662710698314413,0.10130718954248366,0.03242174062607499,8
0.25,40.75,2.277608394786075,0.8122017723244717,0.07762440354464895,0.11017382413087934,8
0.25,40.5,1.3228756555322954,0.7509002057613169,0.07608882030178327,0.17301097393689988,8
0.25,40.125,2.2603926650031405,0.7328660436137072,0.0638196607822776,0.20331429560401523,8
0.25,41.875,3.7893765978060294,0.6811359867330017,0.0595771144278607,0.25928689883913764,8
0.25,40.25,1.299038105676658,0.6893547273982057,0.038733609385783296,0.27191166321601107,8
0.5,75.75,1.920286436967152,1.0,0.0,0.0,8
0.5,76.375,2.2878756522153907,1.0,0.0,0.0,8
0.5,77.75,4.351723796382303,1.0,0.0,0.0,8
0.5,78.0,3.24037034920393,1.0,0.0,0.0,8
0.5,76.125,2.4206145913796355,1.0,0.0,0.0,8
0.5,74.375,2.117634293262177,1.0,0.0,0.0,8
0.5,77.625,2.595067436503337,0.9954598318124889,0.004540168187511183,0.0,8
0.5,75.5,2.8284271247461903,0.9147925864606328,0.08520741353936719,0.0,8
0.5,76.5,2.5495097567963922,0.7958877995642701,0.1699800290486565,0.03413217138707335,8
0.5,76.625,2.6896793489187516,0.6860272793184702,0.1652279318470183,0.1487447888345115,8
0.5,75.25,1.299038105676658,0.6191745108896272,0.13043327796234774,0.2503922111480251,8
0.5,75.125,2.8476964374736293,0.5362359031244223,0.11591791458679977,0.34784618228877795,8
0.5,76.625,2.2325713874364688,0.4385762189595795,0.11488354177995287,0.44654023926046765,8
0.5,76.0,2.692582403567252,0.416780884502924,0.09121436403508772,0.4920047514619883,8
0.5,78.0,2.0,0.37168358262108264,0.07852564102564102,0.5497907763532763,8
0.5,75.625,1.2183492931011204,0.36623048668503216,0.04934573002754821,0.5844237832874196,8
0.75,111.375,1.5761900266148114,1.0,0.0,0.0,8
0.75,112.25,2.436698586202241,1.0,0.0,0.0,8
0.75,112.0,2.692582403567252,1.0,0.0,0.0,8
0.75,111.625,1.5761900266148114,1.0,0.0,0.0,8
0.75,110.875,2.4206145913796355,1.0,0.0,0.0,8
0.75,110.25,1.984313483298443,1.0,0.0,0.0,8
0.75,110.625,1.7275343701356567,0.9087361372672107,0.09126386273278929,0.0,8
0.75,111.0,1.9364916731037085,0.7640244411077745,0.20268706206206205,0.033288496830163494,8
0.75,111.25,2.1065374432940898,0.6374375780274657,0.19970869746150646,0.1628537245110279,8
0.75,111.125,1.4523687548277813,0.5157688622255552,0.18300837395325584,0.301222763821189,8
0.75,111.125,1.5360257159305635,0.4398200224971879,0.14797629462983794,0.4122036828729742,8
0.75,111.75,1.1989578808281798,0.35729451487281466,0.11814359101831137,0.524561894108874,8
0.75,111.0,1.9364916731037085,0.2730907991324658,0.10505296963630296,0.6218562312312312,8
0.75,111.25,2.331844763272204,0.2446785268414482,0.08657407407407407,0.6687473990844778,8
0.75,111.25,2.222048604328897,0.21192779858510197,0.06192779858510196,0.7261444028297961,8
0.75,112.125,3.2185982973959333,0.21466617118791032,0.031664189272884925,0.7536696395392047,8
1.0,144.0,0.0,1.0,0.0,0.0,8
1.0,144.0,0.0,1.0,0.0,0.0,8
1.0,144.0,0.0,1.0,0.0,0.0,8
1.0,144.0,0.0,1.0,0.0,0.0,8
1.0,144.0,0.0,1.0,0.0,0.0,8
1.0,144.0,0.0,1.0,0.0,0.0,8
1.0,144.0,0.0,0.7992802372685185,0.20071976273148148,0.0,8
1.0,144.0,0.0,0.6427951388888888,0.23360942322530864,0.12359543788580248,8
1.0,144.0,0.0,0.5181297019675926,0.20335407021604937,0.27851622781635804,8
1.0,144.0,0.0,0.4002640335648148,0.17514829282407407,0.4245876736111111,8
1.0,144.0,0.0,0.31566478587962965,0.14998070987654322,0.5343545042438271,8
1.0,144.0,0.0,0.24755859375,0.10552300347222222,0.6469184027777778,8
1.0,144.0,0.0,0.18826557677469136,0.07212697723765432,0.7396074459876543,8
1.0,144.0,0.0,0.16242283950617284,0.05984459394290124,0.7777325665509259,8
1.0,144.0,0.0,0.14192708333333334,0.04839711130401234,0.8096758053626543,8
1.0,144.0,0.0,0.14083297164351852,0.023720823688271605,0.8354462046682098,8
