rho,T_mean,sigma_T,fI,fII,fIII,n_sims
0.25,15.15,1.4026760139105539,1.0,0.0,0.0,100
0.25,15.18,1.3883803513446882,1.0,0.0,0.0,100
0.25,15.23,1.2637642185154636,1.0,0.0,0.0,100
0.25,15.29,1.380543371285379,1.0,0.0,0.0,100
0.25,15.39,1.3182943525631898,1.0,0.0,0.0,100
0.25,15.34,1.3507035203922435,1.0,0.0,0.0,100
0.25,15.02,1.303687079018581,1.0,0.0,0.0,100
0.25,15.2,1.3038404810405297,1.0,0.0,0.0,100
0.25,14.97,1.3450278807519196,1.0,0.0,0.0,100
0.25,15.15,1.243985530462473,1.0,0.0,0.0,100
0.25,15.13,1.3240468269664787,0.9998347653668209,0.00016523463317911433,0.0,100
0.25,15.18,1.2278436382536662,0.9933300395256917,0.0066699604743083,0.0,100
0.25,15.08,1.4330387294138285,0.9748010610079576,0.022877984084880638,0.0023209549071618036,100
0.25,15.21,1.3877679921370143,0.9650723208415516,0.026093030900723208,0.00883464825772518,100
0.25,15.01,1.337871443749361,0.9497834776815456,0.029896735509660228,0.02031978680879414,100
0.25,15.13,1.2857293649909378,0.9459682749504296,0.017927957699933907,0.03610376734963648,100
0.5,24.86,1.5938632312717425,1.0,0.0,0.0,100
0.5,24.91,1.625392260348252,1.0,0.0,0.0,100
0.5,24.94,1.6542067585401772,1.0,0.0,0.0,100
0.5,24.88,1.6265300489077967,1.0,0.0,0.0,100
0.5,24.98,1.618517840494815,1.0,0.0,0.0,100
0.5,25.08,1.6654128617252841,1.0,0.0,0.0,100
0.5,24.91,1.794965180720785,1.0,0.0,0.0,100
0.5,25.15,1.7853571071357126,1.0,0.0,0.0,100
0.5,24.89,1.7826665420094696,1.0,0.0,0.0,100
0.5,25.08,1.764539600009022,0.989770235247209,0.010229764752791068,0.0,100
0.5,24.86,1.6554153557340225,0.9527478881737731,0.045995072405470634,0.001257039420756235,100
0.5,25.13,2.0379156017853144,0.894175288499801,0.07670115399920414,0.029123557500994827,100
0.5,24.98,1.7718916445426338,0.8387710168134508,0.07377151721377102,0.08745746597277822,100
0.5,25.04,1.782806775845324,0.8082318290734825,0.07247154552715655,0.11929662539936102,100
0.5,24.91,1.5498064395272075,0.7776119028502609,0.06798223604977921,0.15440586109995985,100
0.5,24.9,1.8947295321496416,0.7747489959839358,0.038780120481927714,0.18647088353413654,100
0.75,36.37,1.5469647701224485,1.0,0.0,0.0,100
0.75,36.26,1.6038703189472645,1.0,0.0,0.0,100
0.75,36.13,1.5662375298785303,1.0,0.0,0.0,100
0.75,36.16,1.5014659503298768,1.0,0.0,0.0,100
0.75,36.16,1.514727698300919,1.0,0.0,0.0,100
0.75,36.18,1.5835403373454053,1.0,0.0,0.0,100
0.75,36.49,1.60309076474166,1.0,0.0,0.0,100
0.75,36.22,1.5848028268526024,1.0,0.0,0.0,100
0.75,36.18,1.551644289133305,0.9918232909526442,0.008176709047355813,0.0,100
0.75,36.06,1.3624977064200878,0.923062257348863,0.07537206507672398,0.0015656775744130153,100
0.75,36.21,1.5446358794227202,0.8664043082021541,0.10085266500966583,0.03274302678818006,100
0.75,36.48,1.5197368193210297,0.7916152686403509,0.0965140716374269,0.11187065972222222,100
0.75,36.62,1.5018655066283397,0.705466047697069,0.10578804842526852,0.1887459038776625,100
0.75,36.04,1.6426807358704856,0.6736612097669257,0.1001491398446171,0.22618965038845726,100
0.75,36.22,1.5334927453366056,0.6259203018590097,0.08541551628934291,0.28866418185164733,100
0.75,36.43,1.7677952370113457,0.6153067526763656,0.04590424558514045,0.3387890017384939,100
1.0,48.0,0.0,1.0,0.0,0.0,100
1.0,48.0,0.0,1.0,0.0,0.0,100
1.0,48.0,0.0,1.0,0.0,0.0,100
1.0,48.0,0.0,1.0,0.0,0.0,100
1.0,48.0,0.0,1.0,0.0,0.0,100
1.0,48.0,0.0,1.0,0.0,0.0,100
1.0,48.0,0.0,1.0,0.0,0.0,100
1.0,48.0,0.0,0.9966569010416667,0.0033430989583333333,0.0,100
1.0,48.0,0.0,0.940712890625,0.059287109375,0.0,100
1.0,48.0,0.0,0.854296875,0.124228515625,0.021474609375,100
1.0,48.0,0.0,0.7667708333333333,0.137060546875,0.09616861979166667,100
1.0,48.0,0.0,0.676884765625,0.138388671875,0.1847265625,100
1.0,48.0,0.0,0.5872623697916667,0.115029296875,0.29770833333333335,100
1.0,48.0,0.0,0.5543815104166666,0.098623046875,0.3469954427083333,100
1.0,48.0,0.0,0.5090657552083333,0.07939453125,0.4115397135416667,100
1.0,48.0,0.0,0.50724609375,0.044521484375,0.448232421875,100
