rho,T_mean,sigma_T,fI,fII,fIII,n_sims
0.25,15.25,1.6393596310755,1.0,0.0,0.0,8
0.25,15.625,1.996089927833914,1.0,0.0,0.0,8
0.25,15.625,0.6959705453537527,1.0,0.0,0.0,8
0.25,14.25,1.299038105676658,1.0,0.0,0.0,8
0.25,15.625,1.2183492931011204,1.0,0.0,0.0,8
0.25,15.125,0.7806247497997998,1.0,0.0,0.0,8
0.25,15.0,1.6583123951777,1.0,0.0,0.0,8
0.25,14.375,1.653594569415369,1.0,0.0,0.0,8
0.25,15.125,1.2686114456365274,1.0,0.0,0.0,8
0.25,15.125,0.9270248108869579,1.0,0.0,0.0,8
0.25,15.5,1.0,1.0,0.0,0.0,8
0.25,15.0,0.8660254037844386,0.9953125,0.0046875,0.0,8
0.25,15.0,1.0,0.9765625,0.0234375,0.0,8
0.25,15.5,1.3228756555322954,0.9682459677419355,0.020161290322580645,0.011592741935483871,8
0.25,15.0,1.7320508075688772,0.9557291666666666,0.022395833333333334,0.021875,8
0.25,15.0,1.4142135623730951,0.9453125,0.0203125,0.034375,8
0.5,24.5,0.8660254037844386,1.0,0.0,0.0,8
0.5,24.75,1.1989578808281798,1.0,0.0,0.0,8
0.5,25.375,1.996089927833914,1.0,0.0,0.0,8
0.5,25.125,0.7806247497997998,1.0,0.0,0.0,8
0.5,24.125,0.9270248108869579,1.0,0.0,0.0,8
0.5,25.25,1.479019945774904,1.0,0.0,0.0,8
0.5,25.125,1.7633419974582356,1.0,0.0,0.0,8
0.5,25.625,2.341874249399399,1.0,0.0,0.0,8
0.5,25.75,0.4330127018922193,1.0,0.0,0.0,8
0.5,25.75,1.3919410907075054,0.9918082524271845,0.008191747572815534,0.0,8
0.5,24.25,1.920286436967152,0.9595682989690721,0.03817654639175258,0.0022551546391752575,8
0.5,25.125,2.368411915187052,0.8970771144278606,0.07120646766169154,0.03171641791044776,8
0.5,24.375,1.79843682124227,0.8405448717948718,0.07259615384615385,0.08685897435897436,8
0.5,25.75,1.479019945774904,0.8017293689320388,0.07554611650485436,0.12272451456310679,8
0.5,25.875,1.3635890143294642,0.7643417874396136,0.06597222222222222,0.16968599033816426,8
0.5,24.875,1.5360257159305635,0.7876884422110553,0.03910175879396985,0.17320979899497488,8
0.75,36.875,0.7806247497997998,1.0,0.0,0.0,8
0.75,37.75,0.82915619758885,1.0,0.0,0.0,8
0.75,36.375,1.4947825928876748,1.0,0.0,0.0,8
0.75,35.875,2.1469455046647083,1.0,0.0,0.0,8
0.75,35.625,0.6959705453537527,1.0,0.0,0.0,8
0.75,35.625,1.5761900266148114,1.0,0.0,0.0,8
0.75,36.25,1.6393596310755,1.0,0.0,0.0,8
0.75,36.25,1.5612494995995996,1.0,0.0,0.0,8
0.75,36.375,1.2183492931011204,0.9924828178694158,0.007517182130584193,0.0,8
0.75,35.5,1.118033988749895,0.9254694835680751,0.0735768779342723,0.0009536384976525822,8
0.75,37.125,1.6909686573085854,0.8587962962962963,0.09974747474747475,0.041456228956228955,8
0.75,36.375,1.653594569415369,0.7881586483390607,0.10230526918671248,0.1095360824742268,8
0.75,36.25,1.0897247358851685,0.7189655172413794,0.09727011494252874,0.18376436781609196,8
0.75,36.125,1.4523687548277813,0.6818771626297578,0.09695790080738177,0.22116493656286043,8
0.75,35.875,1.5360257159305635,0.6236933797909407,0.08442218350754936,0.2918844367015099,8
0.75,36.375,1.9324531042175384,0.6184851088201604,0.03830183276059565,0.343213058419244,8
1.0,48.0,0.0,1.0,0.0,0.0,8
1.0,48.0,0.0,1.0,0.0,0.0,8
1.0,48.0,0.0,1.0,0.0,0.0,8
1.0,48.0,0.0,1.0,0.0,0.0,8
1.0,48.0,0.0,1.0,0.0,0.0,8
1.0,48.0,0.0,1.0,0.0,0.0,8
1.0,48.0,0.0,1.0,0.0,0.0,8
1.0,48.0,0.0,0.9969482421875,0.0030517578125,0.0,8
1.0,48.0,0.0,0.941162109375,0.058837890625,0.0,8
1.0,48.0,0.0,0.8555908203125,0.12166341145833333,0.022745768229166668,8
1.0,48.0,0.0,0.7652994791666666,0.13525390625,0.09944661458333333,8
1.0,48.0,0.0,0.6765950520833334,0.13045247395833334,0.19295247395833334,8
1.0,48.0,0.0,0.5794270833333334,0.12605794270833334,0.2945149739583333,8
1.0,48.0,0.0,0.5580647786458334,0.08634440104166667,0.3555908203125,8
1.0,48.0,0.0,0.5069986979166666,0.0828857421875,0.4101155598958333,8
1.0,48.0,0.0,0.4990234375,0.056111653645833336,0.4448649088541667,8
